[learnit]
[mode: verbs]
[delim: 	]

Lecke	Infinitiv	E/3	Präteritum	Perfekt	Jelentés	Egyéb
15	schießen	schießt	schoss	hat geschossen	lő	
4	schlafen	schläft	schlief	hat geschlafen	alszik	
11	abschließen	schließt ab	schloss ab	hat abgeschlossen	befejez, lezár	
3	schmecken	schmeckt	schmeckte	hat geschmeckt	ízlik	
1	schreiben	schreibt	schrieb	hat geschrieben	ír	
14	aufschreiben	schreibt auf	schrieb auf	hat aufgeschrieben	felír	
5	schreien	schreit	schrie	hat geschrien	kiabál	
2	schwimmen	schwimmt	schwamm	ist/hat geschwommen	úszik	
16	segeln	segelt	segelte	hat gesegeln	vitorlázik	
4	sehen	sieht	sah	hat gesehen	lát	
10	aussehen	sieht aus	sah aus	hat ausgesehen	kinéz valahogy	
4	fernsehen	sieht fern	sah fern	hat ferngesehen	tv-t néz	
20	sich sehen	sieht sich	sah sich	hat sich gesehen	látják egymást	
17	zusehen	sieht zu	sah zu	hat zugesehen	figyel v-t	Dativ
19	siezen	siezt	siezte	hat gesiezt	magáz	
5	singen	singt	sang	hat gesungen	énekel	
6	sitzen	sitzt	saß	hat gesessen	ül	
15	sollen	soll	sollte	hat gesollt	kell (belső késztetés)	
18	speichern	speichert	speicherte	hat gespeichert	elment, raktároz	
2	spielen	spielt	spielte	hat gespielt	játszik	
16	sprechen	spricht	sprach	hat gesprochen	beszél	über+A
14	ansprechen	spricht an	sprach an	hat angesprochen	megszólít (átvitt: megérint)	
18	aussprechen	spricht aus	sprach aus	hat ausgesprochen	kiejt, kimond	
17	springen	springt	sprang	ist gesprungen	ugrik	
18	sprühen	sprüht	sprühte	hat gesprüht	szór, permetez	
6	starten	startet	startete	ist/hat gestartet	elkezd/kezdődik	
6	stehen	steht	stand	hat gestanden	áll	
9	stehen	steht	stand	hat gestanden	áll	
4	aufstehen	steht auf	stand auf	ist aufgestanden	felkel	
14	einsteigen	steigt ein	stieg ein	ist eingestiegen	be-, felszáll	
12	stellen	stellt	stellte	hat gestellt	állít, rak, helyez	
17	sterben	stirbt	starb	ist gestorben	meghal	
17	stören	stört	störte	hat gestört	zavar	
4	studieren	studiert	studierte	hat studiert	tanul (felsőoktatásban)	
3	suchen	sucht	suchte	hat gesucht	keres	
5	surfen	surft	surfte	ist gesurft	szörföz	
2	tanzen	tanzt	tanzte	hat getanzt	táncol	
9	tauschen	tauscht	tauschte	hat getauscht	cserél	
10	austauschen	tauscht aus	tauschte aus	hat ausgetauscht	kicserél	
9	teilen	teilt	teilte	hat geteilt	megoszt	
2	telefonieren	telefoniert	telefonierte	hat telefoniert	telefonál	
10	tragen	trägt	trug	hat getragen	hord, visel	
7	trainieren	trainiert	trainierte	hat trainiert	edz	
7	träumen	träumt	träumte	hat geträumt	álmodik	
10	treffen	trifft	traf	hat getroffen	találkozik	
14	sich treffen	trifft sich	traf sich	hat sich getroffen	találkozik v-vel	mit+D
3	trinken	trinkt	trank	hat getrunken	iszik	
7	treten	tritt	trat	ist getreten	lép	
11	auftreten	tritt auf	trat auf	ist aufgetreten	fellép	
15	turnen	turnt	turnte	hat geturnt	tornázik	
16	tun	tut	tat	hat getan	tesz, csinál	
10	wehtun	tut weh	tat weh	hat wehgetan	fájdalmat okoz	
16	übernachten	übernachtet	übernachtete	hat übernachtet	éjszakázik	
18	übersetzen	übersetzt	übersetzte	hat übersetzt	lefordít	
13	überweisen	überweist	überwies	hat überwiesen	átutal	
11	üben	übt	übte	hat geübt	gyakorol	
14	umarmen	umarmt	umarmte	hat umarmt	átölel	
14	sich unterhalten	unterhält sich	unterhielt sich	hat sich unterhalten	szórakozik, beszélget	
16	unternehmen	unternimmt	unternahm	hat unternommen	vállalkozik v-re	Akkusativ
18	unterrichten	unterrichtet	unterrichtete	hat unterrichtet	tanít	
19	unterstützen	unterstützt	unterstützte	hat unterstützt	támogat	
9	verbessern	verbessert	verbesserte	hat verbessert	jobbít, javít	
16	verbringen	verbringt	verbrachte	hat verbracht	eltölt	
7	Geld verdienen	verdient Geld	verdiente Geld	hat Geld verdient	pénzt keres	
18	vergehen	vergeht	verging	ist vergangen	elmúlik	
10	vergessen	vergisst	vergaß	hat vergessen	elfelejt	
13	vergleichen	vergleicht	verglich	hat verglichen	összehasonlít	A, mit+D
14	sich verhalten	verhält sich	verhielt sich	hat sich verhalten	viselkedik	
5	verkaufen	verkauft	verkaufte	hat verkauft	elad	
15	verlieren	verliert	verlor	hat verloren	veszít	
18	vermissen	vermisst	vermisste	hat vermisst	hiányol	
5	verstehen	versteht	verstand	hat verstanden	megért	
20	sich verstehen	versteht sich	verstand sich	hat sich verstanden	értik egymást	
14	vertrauen	vertraut	vertraute	hat vertraut	bízik v-ben	Dativ
17	sich vorstellen	vorstellt sich	stellte sich vor	hat sich vorstellt	bemutatkozik	Dativ
18	aufwachsen	wächst auf	wuchs auf	ist aufgewachsen	felnő	
4	aufwachen	wacht auf	wachte auf	ist aufgewacht	felébred	
15	wählen	wählt	wählte	hat gewählt	választ	
16	wandern	wandert	wanderte	ist gewandert	vándorol, túrázik	
15	sich aufwärmen	wärmt sich auf	wärmte sich auf	hat sich aufgewärmt	bemelegít	
12	warten	wartet	wartete	hat gewartet	vár v-re, v-t	auf + A
16	warten	wartet	wartete	hat gewartet	vár v-t	auf+A
11	wissen	weiß	wusste	hat gewusst	tud	
19	weiterleiten	weiterleitet	leitete weiter	hat weitergeleitet	továbbít	
4	wollen	will	wollte	hat gewollt	akar	
7	werden	wird	wurde	ist geworden	lesz, válik valamivé	
4	wegwerfen	wirft weg	warf weg	hat weggeworfen	eldob	
2	wohnen	wohnt	wohnte	hat gewohnt	lakik	
17	sich wundern	wundert sich	wunderte sich	hat sich gewundert	csodálkozik	
5	wünschen	wünscht	wünschte	hat gewünscht	kíván	
15	würfeln	würfelt	würfelte	hat gewürfelt	kockával dob, kockára vág	
9	zeigen	zeigt	zeigte	hat gezeigt	mutat	
7	anziehen	zieht an	zog an	hat angezogen	ruhadarabot felvesz, vonz	
19	ausziehen	zieht aus	zog aus	ist ausgezogen	elköltözik	
17	einziehen	zieht ein	zog ein	ist eingezogen	beköltözik	
15	sich anziehen	zieht sich an	zog sich an	hat sich angezogen	felöltözködik	
11	umziehen	zieht um	zog um	ist umgezogen	átköltözik	
20	zuziehen	zieht zu	zog zu	ist zugezogen	oda-, hozzáköltözik	
