[learnit]
[mode: verbs]
[delimiter: ;]

Lecke;Infinitiv;E/3;Präteritum;Perfekt;Jelentés;Egyéb
16;besichtigen;besichtigt;besichtigte;hat besichtigt;megtekint;
16;bloggen;bloggt;bloggte;hat gebloggt;blogol;
16;buchen;bucht;buchte;hat gebucht;lefoglal;
16;denken;denkt;dachte;hat gedacht;gondol;an+A
16;einchecken;checkt ein;checkte ein;hat eingecheckt;bejelentkezik;
16;laufen;läuft;lief;ist gelaufen;fut, szalad;
16;passen;passt;passte;hat gepasst;illeszkedik;zu+D
16;relaxen;relaxt;relaxte;hat relaxt;pihen;
16;segeln;segelt;segelte;hat gesegeln;vitorlázik;
16;sich erinnern;erinnert sich;erinnerte sich;hat sich erinnert;emlékezik;an+A
16;sich interessieren;interessiert sich;interessierte sich;hat sich interessiert;érdeklődik;für+A
16;sprechen;spricht;sprach;hat gesprochen;beszél;über+A
16;tun;tut;tat;hat getan;tesz, csinál;
16;unternehmen;unternimmt;unternahm;hat unternommen;vállalkozik v-re;Akkusativ
16;verbringen;verbringt;verbrachte;hat verbracht;eltölt;
16;wandern;wandert;wanderte;ist gewandert;vándorol, túrázik;
16;warten;wartet;wartete;hat gewartet;vár v-t;auf+A
16;übernachten;übernachtet;übernachtete;hat übernachtet;éjszakázik;
17;anbieten;bietet an;bot an;hat angeboten;kínál;Dativ, Akkusativ
17;bereit sein;ist bereit;war bereit;war bereit;kész v-re;zu+D
17;bewachen;bewacht;bewachte;hat bewacht;felügyel v-t;
17;bitten;bittet;bat;hat gebeten;kér;akitől: + Akk, amit: um+A
17;ein Recht haben;hat ein Recht;hatte ein Recht;hat eine Recht gehabt;joga van vhez;auf + Akk
17;einziehen;zieht ein;zog ein;ist eingezogen;beköltözik;
17;füttern;füttert;fütterte;hat gefüttern;etet;
17;gießen;gießt;goss;hat gegossen;önt;
17;handeln;handelt;handelte;hat gehandelt;szól v-ről;von+D
17;hassen;hasst;hasste;hat gehaßt;gyűlöl;
17;reagieren;reagiert;reagierte;hat reagiert;reagál;
17;riechen;riecht;roch;hat gerochen;szaglik;
