# [crablit]
# mode = "verbs"
# delim = '	'

# Infinitiv	E/3	Präteritum	Perfekt	Jelentés	Egyéb
sich sehen	sieht sich	sah sich	hat sich gesehen	látják egymást	
zusehen	sieht zu	sah zu	hat zugesehen	figyel v-t	Dativ
siezen	siezt	siezte	hat gesiezt	magáz	
singen	singt	sang	hat gesungen	énekel	
sitzen	sitzt	saß	hat gesessen	ül	
sollen	soll	sollte	hat gesollt	kell (belső késztetés)	
speichern	speichert	speicherte	hat gespeichert	elment, raktároz	
spielen	spielt	spielte	hat gespielt	játszik	
sprechen	spricht	sprach	hat gesprochen	beszél	über+A
ansprechen	spricht an	sprach an	hat angesprochen	megszólít (átvitt: megérint)	
aussprechen	spricht aus	sprach aus	hat ausgesprochen	kiejt, kimond	
springen	springt	sprang	ist gesprungen	ugrik	
sprühen	sprüht	sprühte	hat gesprüht	szór, permetez	
starten	startet	startete	ist/hat gestartet	elkezd/kezdődik	
stehen	steht	stand	hat gestanden	áll	
stehen	steht	stand	hat gestanden	áll	
aufstehen	steht auf	stand auf	ist aufgestanden	felkel	
einsteigen	steigt ein	stieg ein	ist eingestiegen	be-, felszáll	
stellen	stellt	stellte	hat gestellt	állít, rak, helyez	
sterben	stirbt	starb	ist gestorben	meghal	
stören	stört	störte	hat gestört	zavar	
studieren	studiert	studierte	hat studiert	tanul (felsőoktatásban)	
suchen	sucht	suchte	hat gesucht	keres	
surfen	surft	surfte	ist gesurft	szörföz	
tanzen	tanzt	tanzte	hat getanzt	táncol	
tauschen	tauscht	tauschte	hat getauscht	cserél	
austauschen	tauscht aus	tauschte aus	hat ausgetauscht	kicserél	
teilen	teilt	teilte	hat geteilt	megoszt	
telefonieren	telefoniert	telefonierte	hat telefoniert	telefonál	
tragen	trägt	trug	hat getragen	hord, visel	
trainieren	trainiert	trainierte	hat trainiert	edz	
träumen	träumt	träumte	hat geträumt	álmodik	
treffen	trifft	traf	hat getroffen	találkozik	
sich treffen	trifft sich	traf sich	hat sich getroffen	találkozik v-vel	mit+D
trinken	trinkt	trank	hat getrunken	iszik	
treten	tritt	trat	ist getreten	lép	
auftreten	tritt auf	trat auf	ist aufgetreten	fellép	
turnen	turnt	turnte	hat geturnt	tornázik	
tun	tut	tat	hat getan	tesz, csinál	
wehtun	tut weh	tat weh	hat wehgetan	fájdalmat okoz	
übernachten	übernachtet	übernachtete	hat übernachtet	éjszakázik	
übersetzen	übersetzt	übersetzte	hat übersetzt	lefordít	
überweisen	überweist	überwies	hat überwiesen	átutal	
üben	übt	übte	hat geübt	gyakorol	
umarmen	umarmt	umarmte	hat umarmt	átölel	
sich unterhalten	unterhält sich	unterhielt sich	hat sich unterhalten	szórakozik, beszélget	
unternehmen	unternimmt	unternahm	hat unternommen	vállalkozik v-re	Akkusativ
unterrichten	unterrichtet	unterrichtete	hat unterrichtet	tanít	
unterstützen	unterstützt	unterstützte	hat unterstützt	támogat	
verbessern	verbessert	verbesserte	hat verbessert	jobbít, javít	
verbringen	verbringt	verbrachte	hat verbracht	eltölt	
Geld verdienen	verdient Geld	verdiente Geld	hat Geld verdient	pénzt keres	
vergehen	vergeht	verging	ist vergangen	elmúlik	
vergessen	vergisst	vergaß	hat vergessen	elfelejt	
vergleichen	vergleicht	verglich	hat verglichen	összehasonlít	A, mit+D
sich verhalten	verhält sich	verhielt sich	hat sich verhalten	viselkedik	
verkaufen	verkauft	verkaufte	hat verkauft	elad	
verlieren	verliert	verlor	hat verloren	veszít	
vermissen	vermisst	vermisste	hat vermisst	hiányol	
verstehen	versteht	verstand	hat verstanden	megért	
sich verstehen	versteht sich	verstand sich	hat sich verstanden	értik egymást	
vertrauen	vertraut	vertraute	hat vertraut	bízik v-ben	Dativ
sich vorstellen	vorstellt sich	stellte sich vor	hat sich vorstellt	bemutatkozik	Dativ
aufwachsen	wächst auf	wuchs auf	ist aufgewachsen	felnő	
aufwachen	wacht auf	wachte auf	ist aufgewacht	felébred	
wählen	wählt	wählte	hat gewählt	választ	
wandern	wandert	wanderte	ist gewandert	vándorol, túrázik	
sich aufwärmen	wärmt sich auf	wärmte sich auf	hat sich aufgewärmt	bemelegít	
warten	wartet	wartete	hat gewartet	vár v-re, v-t	auf + A
warten	wartet	wartete	hat gewartet	vár v-t	auf+A
wissen	weiß	wusste	hat gewusst	tud	
weiterleiten	leitet weiter	leitete weiter	hat weitergeleitet	továbbít	
wollen	will	wollte	hat gewollt	akar	
werden	wird	wurde	ist geworden	lesz, válik valamivé	
wegwerfen	wirft weg	warf weg	hat weggeworfen	eldob	
wohnen	wohnt	wohnte	hat gewohnt	lakik	
sich wundern	wundert sich	wunderte sich	hat sich gewundert	csodálkozik	
wünschen	wünscht	wünschte	hat gewünscht	kíván	
würfeln	würfelt	würfelte	hat gewürfelt	kockával dob, kockára vág	
zeigen	zeigt	zeigte	hat gezeigt	mutat	
anziehen	zieht an	zog an	hat angezogen	ruhadarabot felvesz, vonz	
ausziehen	zieht aus	zog aus	ist ausgezogen	elköltözik	
einziehen	zieht ein	zog ein	ist eingezogen	beköltözik	
sich anziehen	zieht sich an	zog sich an	hat sich angezogen	felöltözködik	
umziehen	zieht um	zog um	ist umgezogen	átköltözik	
zuziehen	zieht zu	zog zu	ist zugezogen	oda-, hozzáköltözik	
