# [crablit]
# delim = ';'

# Bedeutung auf Ungarisch     ; Infinitiv, E/3, Präteritum, Perfekt 
szervez                       ; organisieren, organisiert, organisierte, hat organisiert 
tájékozódik                   ; s. orientieren, orieniert s., orientierte s., hat s. orientiert 
kipakol                       ; auspacken, packt aus, packte aus, hat ausgepackt 
történik                      ; passieren, passiert, passierte, ist passiert 
illik, passzol                ; passen, passt, passte, hat gepasst 
illeszkedik                   ; passen, passt, passte, hat gepasst 
tervez                        ; planen, plant, plante, hat geplant 
felpróbál                     ; anprobieren, probiert an, probierte an, hat angeprobiert 
provokál                      ; provozieren, provoziert, provozierte, hat geprovoziert 
tanácsot ad                   ; raten, rät, riet, hat geraten 
dohányzik                     ; rauchen, raucht, rauchte, hat geraucht 
kitakarít                     ; aufräumen, räumt auf, räumte auf, hat aufgeräumt 
reagál                        ; reagieren, reagiert, reagierte, hat reagiert 
újrahasznosít                 ; recyceln, recycelt, recycelte, hat recycelt 
beszélget                     ; reden, redet, redete, hat geredet 
esik (eső)                    ; regnen, regnet, regnete, hat geregnet 
ösztönöz                      ; anregen, regt an, regte an, hat angeregt 
utazik                        ; reisen, reist, reiste, ist gereist 
pihen                         ; relaxen, relaxt, relaxte, hat relaxt 
rohan                         ; rennen, rennt, rannte, ist gerannt 
felújít                       ; renovieren, renoviert, renovierte, hat renoviert 
megjavít                      ; reparieren, repariert, reparierte, hat repariert 
szaga van v-nek, megszagol    ; riechen, riecht, roch, hat gerochen 
szaglik                       ; riechen, riecht, roch, hat gerochen 
kiált, szólít                 ; rufen, ruft, rief, hat gerufen 
felhív                        ; anrufen, ruft an, rief an, hat angerufen 
mond                          ; sagen, sagt, sagte, hat gesagt 
lemond v-t                    ; absagen, sagt ab, sagte ab, hat abgesagt 
gyűjt                         ; sammeln, sammelt, sammelte, hat gesammelt 
lekapcsol                     ; abschalten, schaltet ab, schaltete ab, hat abgeschaltet 
szégyelli magát               ; s. schämen, schämt s., schämte s., hat s. geschämt 
megnéz                        ; anschauen, schaut an, schaute an, hat angeschaut 
süt (a nap)                   ; scheinen, scheint, schien, hat geschienen 
ajándékoz                     ; schenken, schenkt, schenkte, hat geschenkt 
küld                          ; schicken, schickt, schickte, hat geschickt 
lő                            ; schießen, schießt, schoss, hat geschossen 
alszik                        ; schlafen, schläft, schlief, hat geschlafen 
befejez, lezár                ; abschließen, schließt ab, schloss ab, hat abgeschlossen 
ízlik                         ; schmecken, schmeckt, schmeckte, hat geschmeckt 
ír                            ; schreiben, schreibt, schrieb, hat geschrieben 
felír                         ; aufschreiben, schreibt auf, schrieb auf, hat aufgeschrieben 
kiabál                        ; schreien, schreit, schrie, hat geschrien 
úszik                         ; schwimmen, schwimmt, schwamm, ist/hat geschwommen 
vitorlázik                    ; segeln, segelt, segelte, hat gesegeln 
lát                           ; sehen, sieht, sah, hat gesehen 
kinéz valahogy                ; aussehen, sieht aus, sah aus, hat ausgesehen 
tv-t néz                      ; fernsehen, sieht fern, sah fern, hat ferngesehen 
látják egymást                ; s. sehen, sieht s., sah s., hat s. gesehen 
figyel v-t                    ; zusehen, sieht zu, sah zu, hat zugesehen 
magáz                         ; siezen, siezt, siezte, hat gesiezt 
énekel                        ; singen, singt, sang, hat gesungen 
ül                            ; sitzen, sitzt, saß, hat gesessen 
kell (belső késztetés)        ; sollen, soll, sollte, hat gesollt 
elment, raktároz              ; speichern, speichert, speicherte, hat gespeichert 
játszik                       ; spielen, spielt, spielte, hat gespielt 
beszél                        ; sprechen, spricht, sprach, hat gesprochen 
megszólít (átvitt: megérint)  ; ansprechen, spricht an, sprach an, hat angesprochen 
kiejt, kimond                 ; aussprechen, spricht aus, sprach aus, hat ausgesprochen 
ugrik                         ; springen, springt, sprang, ist gesprungen 
szór, permetez                ; sprühen, sprüht, sprühte, hat gesprüht 
elkezd/kezdődik               ; starten, startet, startete, ist/hat gestartet 
áll                           ; stehen, steht, stand, hat gestanden 
áll                           ; stehen, steht, stand, hat gestanden 
felkel                        ; aufstehen, steht auf, stand auf, ist aufgestanden 
be-, felszáll                 ; einsteigen, steigt ein, stieg ein, ist eingestiegen 
állít, rak, helyez            ; stellen, stellt, stellte, hat gestellt 
meghal                        ; sterben, stirbt, starb, ist gestorben 
zavar                         ; stören, stört, störte, hat gestört 
tanul (felsőoktatásban)       ; studieren, studiert, studierte, hat studiert 
keres                         ; suchen, sucht, suchte, hat gesucht 
szörföz                       ; surfen, surft, surfte, ist gesurft 
táncol                        ; tanzen, tanzt, tanzte, hat getanzt 
